Alpha,Cl,Cd,Cm
-14.0,-0.1761131582938452,0.1832965254725573,-0.02158743385568136
-13.0,-0.20112436453479993,0.16527105713724363,-0.032753683795383626
-9.0,-0.2749758065287708,0.14418323171079975,-0.00413532314037584
-4.0,-0.16491820508417435,0.07376075748443865,-0.03602820825518145
-3.0,-0.14714425940186804,0.07095257774388758,-0.02757231455313318
-2.0,-0.10926310107466229,0.07170765148633519,-0.019418384764734942
-1.0,-0.07192489120750228,0.07377982641678396,-0.011454723079515573
0.0,-0.035135452973830854,0.07681062790242255,-0.0041709497504354084
1.0,0.0018985856321019486,0.08057255988519993,0.002206411747328871
2.0,0.04001463380446951,0.08487363351126169,0.007604641588355061
3.0,0.07856825417817062,0.089685251064678,0.012089244129356486
4.0,0.1155777868945367,0.09520862374877047,0.015655246363463823
5.0,0.14789135609097565,0.10188318522137918,0.018117427801890733
6.0,0.17316117985394347,0.11008475929304613,0.01918001130140485
7.0,0.198191775836164,0.11888619247801727,0.019026614715930167
11.0,0.33069192543373,0.15613582067000414,0.008242095770362078
13.0,0.4571939670559601,0.18825115536121148,-0.016598453874980896
15.0,0.5768097154114565,0.21417241009495883,-0.03752774021840059
16.0,0.6344014856607704,0.22752455386294884,-0.04684397789541475
17.0,0.6877583798707503,0.23970090827726956,-0.05516304988924032
18.0,0.7384971124567427,0.2521450939059953,-0.06374810001784185
19.0,0.7887405555555711,0.2643222762169653,-0.07257047365549935
