# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
7

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
BODY,fuselage,0,BSAYMXKNLQ,0,0,0,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,76,41
# x,y,z,u,w
-4.108650548026102925e-33, -7.401486830834376525e-17, -1.075619295958279098e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
-2.103629080589365086e-33, -6.631732200427602284e-17, -1.075619295958279098e+00, 0.000000000000000000e+00, 1.000000000000000056e-01
-8.874685183736380430e-34, -4.796163466380675584e-17, -1.075619295958279098e+00, 0.000000000000000000e+00, 2.000000000000000111e-01
-2.629536350736706358e-34, -2.605323364453700633e-17, -1.075619295958279098e+00, 0.000000000000000000e+00, 2.999999999999999889e-01
-3.286920438420880275e-35, -7.697546304067748579e-18, -1.075619295958279098e+00, 0.000000000000000000e+00, 4.000000000000000222e-01
0.000000000000000000e+00, 0.000000000000000000e+00, -1.075619295958279098e+00, 0.000000000000000000e+00, 5.000000000000000000e-01
-1.262177448353618641e-32, -1.421085471520200093e-17, -1.075619295958279098e+00, 0.000000000000000000e+00, 5.999999999999999778e-01
-1.419949629397821416e-32, -1.598721155460225606e-17, -1.075619295958279098e+00, 0.000000000000000000e+00, 6.999999999999999556e-01
-9.466330862652137757e-33, -1.065814103640149839e-17, -1.075619295958279098e+00, 0.000000000000000000e+00, 8.000000000000000444e-01
-3.155443620884045919e-33, -3.552713678800499463e-18, -1.075619295958279098e+00, 0.000000000000000000e+00, 9.000000000000000222e-01
0.000000000000000000e+00, 0.000000000000000000e+00, -1.075619295958279098e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
-3.155443620884052077e-33, 4.144832625267258361e-18, -1.075619295958279098e+00, 0.000000000000000000e+00, 1.100000000000000089e+00
-9.466330862652137757e-33, 1.539509260813549716e-17, -1.075619295958279098e+00, 0.000000000000000000e+00, 1.199999999999999956e+00
-1.419949629397821416e-32, 3.197442310920451211e-17, -1.075619295958279098e+00, 0.000000000000000000e+00, 1.300000000000000044e+00
-1.262177448353619462e-32, 5.210646728907399417e-17, -1.075619295958279098e+00, 0.000000000000000000e+00, 1.399999999999999911e+00
0.000000000000000000e+00, 7.401486830834376525e-17, -1.075619295958279098e+00, 0.000000000000000000e+00, 1.500000000000000000e+00
-3.286920438420890966e-35, 3.789561257387198400e-17, -1.075619295958279098e+00, 0.000000000000000000e+00, 1.600000000000000089e+00
-2.629536350736704220e-34, 1.598721155460225914e-17, -1.075619295958279098e+00, 0.000000000000000000e+00, 1.699999999999999956e+00
-8.874685183736385561e-34, 4.736951571733997999e-18, -1.075619295958279098e+00, 0.000000000000000000e+00, 1.800000000000000044e+00
-2.103629080589363376e-33, 5.921189464667516759e-19, -1.075619295958279098e+00, 0.000000000000000000e+00, 1.899999999999999911e+00
-4.108650548026102925e-33, 0.000000000000000000e+00, -1.075619295958279098e+00, 0.000000000000000000e+00, 2.000000000000000000e+00
