r/R,z/R (height of leading edge from top face of hub)
0.14999999999999994,0.02985454924927943
0.2999999999999999,0.02805831223628692
0.4499999999999999,0.02888877637130802
0.55,0.029467341772151903
0.6499999999999995,0.02669493670886076
0.7500000000000007,0.02315915611814346
0.85,0.01933493670886076
0.9499999999999997,0.014551223628691984
0.9875,0.0047756118143459925
1.0,-0.005
