r/R,y/R (y-distance of LE from the middle point of hub)
0.15,0.02985454924927943
0.3,0.0412877637
0.45,0.0571988186
0.55,0.0639306329
0.65,0.0657152743
0.75,0.0633985654
0.85,0.0583338397
0.95,0.0485438819
0.9608391608,0.0461989101
0.9701631702,0.0420299728
0.9804195804,0.0352861035
0.9897435897,0.0238828338
0.9953379953,0.0144414169
1,-0.005
