r/R,z/R  (height of leading edge from top face of hub) (unchanged from template)
0.0,-0.0150591
0.075,-0.003
0.12,0.016
0.2,0.044
0.4,0.024
0.6,0.00278494
0.8,-0.02
0.95,-0.025
1.0,-0.035
