r/R,twist (deg)
0.0, 34.04761
0.06994045908243295, 23.273809
0.10416657086162455, 20.17857
0.13988099001864746, 17.85714
0.17559497805298094, 15.892857
0.21130961277134858, 14.345238
0.2500001437075631, 13.035714
0.2886899561059619, 11.904761
0.32738106187242905, 10.952380
0.3660714491010804, 10.17857
0.40476183632973184, 9.523809
0.4449403153748698, 8.92857
0.483627828452258, 8.452380
0.523809181648659, 7.976190
0.5625002874151264, 7.61904
0.6011878004925145, 7.261904
0.6413691536889157, 6.964285
0.6800545111528565, 6.666666
0.7187499281462184, 6.428571
0.7589284071913563, 6.19047
0.7991018564717838, 5.952380
0.8377979920029615, 5.773809
0.8779764710480994, 5.595238
0.9196365750693819, 5.416666
1.0, 4.88095
