property,file,description
chorddist,uber_ecrm002_chorddist.csv, Chord distribution
pitchdist,uber_ecrm002_pitchdist.csv, Pitch distribution
sweepdist,uber_ecrm002_sweepdist.csv, LE sweep distribution
heightdist,uber_ecrm002_heightdist.csv, LE height distribution
airfoil_files,uber_ecrm002_airfoils.csv, Airfoil distribution
spl_k,1,  Spline order
spl_s,2.0e-5, Spline smoothing
