r/R,c/R
0.0,0.179190
0.0697674719098099,0.230057
0.10465074126516676,0.220809
0.13953444132779877,0.20462
0.17607923578172474,0.183815
0.21262403023565074,0.165317
0.2508306369263294,0.146820
0.28737543138025534,0.132947
0.32724241461676923,0.121387
0.36544830346198925,0.112138
0.4069763810897971,0.102890
0.4451822699350171,0.09595
0.48504997101698966,0.089017
0.5232558598622097,0.084393
0.561461030861971,0.079768
0.6013287319439435,0.075144
0.6411957151804576,0.070520
0.6793958612620082,0.068208
0.71926930510765,0.065895
0.7591362883441638,0.061271
0.7990032715806777,0.058959
0.8372091604258977,0.056647
0.8770761436624117,0.0543352
0.9186042212902196,0.0520231
1.0,0.047398
